experiment,model,year,region,tas
SSP1-2.6,access_cm2,2083,Minsk,4.045958822326778
SSP1-2.6,access_cm2,2083,Mogilev,3.610112227583145
SSP1-2.6,access_cm2,2083,Vitebsk,3.1537134712326704
SSP1-2.6,access_cm2,2084,Brest,-0.7625102940937585
SSP1-2.6,access_cm2,2084,Gomel,-1.9403919354869346
SSP1-2.6,access_cm2,2084,Grodno,-1.5357117664264077
SSP1-2.6,access_cm2,2084,Minsk,-2.338372267779286
SSP1-2.6,access_cm2,2084,Mogilev,-3.1212184066906854
SSP1-2.6,access_cm2,2084,Vitebsk,-3.6431630709991625
SSP1-2.6,access_cm2,2085,Brest,0.8114536283385052
SSP1-2.6,access_cm2,2085,Gomel,0.3229258970086875
SSP1-2.6,access_cm2,2085,Grodno,-0.17080060677397865
SSP1-2.6,access_cm2,2085,Minsk,-0.7055253677066531
